ticket_id,created_at,resolved_at,category,priority,status,issue,department,assigned_agent,resolution_time_hrs,met_sla,resolution_note,satisfaction_score
INC00001,2026-06-04 03:52,2026-06-05 02:26,Software,P3 - Medium,Resolved,Software license expired,HR,Maria Lopez,22.6,Yes,Reinstalled application and applied latest patch.,4
INC00002,2026-06-07 10:20,2026-06-08 20:57,VPN,P3 - Medium,Closed,VPN client not installing,Legal,Alex Chen,34.6,No,Updated VPN client. Verified user profile in Azure AD.,5
INC00003,2026-05-29 11:53,2026-05-31 04:45,Other,P3 - Medium,Resolved,Data backup question,Marketing,Jordan Smith,40.9,No,Provided documentation and guidance. Closed after user confirmation.,5
INC00004,2026-06-03 10:50,,Other,P3 - Medium,In Progress,Data backup question,Operations,Priya Patel,,N/A,,
INC00005,2026-05-31 13:30,,Software,P4 - Low,Pending User,Unable to install update,Legal,Jordan Smith,,N/A,,
INC00006,2026-06-02 15:29,2026-06-03 22:27,Other,P3 - Medium,Resolved,IT policy clarification,Legal,Maria Lopez,31.0,No,Provided documentation and guidance. Closed after user confirmation.,3
INC00007,2026-05-31 13:21,2026-06-02 19:17,Software,P4 - Low,Resolved,Application crashing on launch,Legal,Jordan Smith,53.9,Yes,Reinstalled application and applied latest patch.,3
INC00008,2026-05-29 01:25,,Access/Permissions,P3 - Medium,In Progress,New user account setup,HR,Maria Lopez,,N/A,,
INC00009,2026-05-27 19:45,2026-06-01 01:33,Hardware,P4 - Low,Closed,Docking station issue,HR,Alex Chen,101.8,No,Dispatched technician. Hardware replaced/repaired.,3
INC00010,2026-05-27 21:40,2026-05-28 03:00,Other,P2 - High,Resolved,Software recommendation request,Facilities,Priya Patel,5.3,Yes,Provided documentation and guidance. Closed after user confirmation.,5
INC00011,2026-06-05 12:33,2026-06-06 10:56,Network,P3 - Medium,Resolved,Unable to connect to VPN,Marketing,Priya Patel,22.4,Yes,Reset network adapter. Escalated to network team if persistent.,3
INC00012,2026-06-01 11:52,,Network,P4 - Low,In Progress,No internet connection,Operations,Maria Lopez,,N/A,,
INC00013,2026-05-16 07:20,2026-05-18 12:50,Email,P3 - Medium,Closed,Outlook not syncing,Finance,Maria Lopez,53.5,No,Reconfigured Outlook profile. Cleared cache.,3
INC00014,2026-05-19 06:37,,Email,P3 - Medium,In Progress,Spam filter blocking emails,Facilities,Jordan Smith,,N/A,,
INC00015,2026-05-15 15:30,2026-05-16 17:25,Access/Permissions,P3 - Medium,Resolved,Cannot access shared drive,Marketing,Maria Lopez,25.9,No,Reset credentials via Active Directory. Verified MFA enrollment.,5
INC00016,2026-05-11 20:29,2026-05-13 20:08,Other,P3 - Medium,Closed,IT policy clarification,Finance,Priya Patel,47.6,No,Provided documentation and guidance. Closed after user confirmation.,3
INC00017,2026-05-26 00:30,,Other,P4 - Low,Open,Software recommendation request,Legal,Alex Chen,,N/A,,
INC00018,2026-05-20 18:22,2026-05-22 10:26,Network,P4 - Low,Closed,WiFi dropping,Operations,Maria Lopez,40.1,Yes,Reset network adapter. Escalated to network team if persistent.,3
INC00019,2026-05-20 18:27,2026-05-22 13:36,Printer,P3 - Medium,Resolved,Paper jam error,Finance,Alex Chen,43.2,No,Cleared print queue. Reconnected printer via IP address.,4
INC00020,2026-05-13 06:26,,Network,P2 - High,In Progress,No internet connection,Legal,Priya Patel,,N/A,,
INC00021,2026-05-28 21:13,2026-05-29 15:52,Other,P3 - Medium,Closed,Software recommendation request,Legal,Maria Lopez,18.6,Yes,Provided documentation and guidance. Closed after user confirmation.,4
INC00022,2026-05-30 20:39,,Email,P2 - High,Open,Spam filter blocking emails,Legal,Yash Somaiya,,N/A,,
INC00023,2026-05-17 01:25,,VPN,P3 - Medium,In Progress,VPN connection timeout,Marketing,Yash Somaiya,,N/A,,
INC00024,2026-06-03 04:18,2026-06-03 17:48,Access/Permissions,P2 - High,Closed,Cannot access shared drive,Facilities,Maria Lopez,13.5,No,Reset credentials via Active Directory. Verified MFA enrollment.,5
